Zipcode,State_Abbrev,City,County,State_Rate,City/CountyRates,Combined_Rate
35161,AL,Talladega,Talladega,0.04,0.060000000000000005,0.1
35171,AL,Thorsby,Chilton,0.04,0.060000000000000005,0.1
35172,AL,Trafford,Jefferson,0.04,0.049999999999999996,0.09
35173,AL,Trussville,Jefferson,0.04,0.060000000000000005,0.1
35175,AL,Union Grove,Marshall,0.04,0.019999999999999997,0.06
35176,AL,Vandiver,Shelby,0.04,0.010000000000000002,0.05
35178,AL,Vincent,Shelby,0.04,0.049999999999999996,0.09
35179,AL,Vinemont,Cullman,0.04,0.045000000000000005,0.085
35180,AL,Warrior,Jefferson,0.04,0.060000000000000005,0.1
35181,AL,Watson,Jefferson,0.04,0.019999999999999997,0.06
35182,AL,Wattsville,Saint Clair,0.04,0.019999999999999997,0.06
35183,AL,Weogufka,Coosa,0.04,0.019999999999999997,0.06
35184,AL,West Blocton,Bibb,0.04,0.060000000000000005,0.1
35185,AL,Westover,Shelby,0.04,0.049999999999999996,0.09
35186,AL,Wilsonville,Shelby,0.04,0.04,0.08
35187,AL,Wilton,Shelby,0.04,0.04,0.08
35188,AL,Woodstock,Bibb,0.04,0.060000000000000005,0.1
35201,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35202,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35203,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35204,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35205,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35206,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35207,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35208,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35209,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35210,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35211,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35212,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35213,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35214,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35215,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35216,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35217,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35218,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35219,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35220,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35221,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35222,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35223,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35224,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35226,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35228,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35229,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35231,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35232,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35233,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35234,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35235,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35236,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35237,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35238,AL,Birmingham,Shelby,0.04,0.060000000000000005,0.1
35242,AL,Birmingham,Shelby,0.04,0.060000000000000005,0.1
35243,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35244,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35246,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35249,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35253,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35254,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35255,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35259,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35260,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35261,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35266,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35270,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35282,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35283,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35285,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35287,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35288,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35290,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35291,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35292,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35293,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35294,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35295,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35296,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35297,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35298,AL,Birmingham,Jefferson,0.04,0.060000000000000005,0.1
35401,AL,Tuscaloosa,Tuscaloosa,0.04,0.060000000000000005,0.1
35402,AL,Tuscaloosa,Tuscaloosa,0.04,0.060000000000000005,0.1
35403,AL,Tuscaloosa,Tuscaloosa,0.04,0.060000000000000005,0.1
35404,AL,Tuscaloosa,Tuscaloosa,0.04,0.060000000000000005,0.1
35405,AL,Tuscaloosa,Tuscaloosa,0.04,0.060000000000000005,0.1
35406,AL,Tuscaloosa,Tuscaloosa,0.04,0.060000000000000005,0.1
35407,AL,Tuscaloosa,Tuscaloosa,0.04,0.060000000000000005,0.1
35486,AL,Tuscaloosa,Tuscaloosa,0.04,0.060000000000000005,0.1
35487,AL,Tuscaloosa,Tuscaloosa,0.04,0.060000000000000005,0.1
35440,AL,Abernant,Tuscaloosa,0.04,0.049999999999999996,0.09
35441,AL,Akron,Hale,0.04,0.049999999999999996,0.09
35442,AL,Aliceville,Pickens,0.04,0.049999999999999996,0.09
35443,AL,Boligee,Greene,0.04,0.04,0.08
35444,AL,Brookwood,Tuscaloosa,0.04,0.060000000000000005,0.1
35446,AL,Buhl,Tuscaloosa,0.04,0.049999999999999996,0.09
35447,AL,Carrollton,Pickens,0.04,0.049999999999999996,0.09
35448,AL,Clinton,Greene,0.04,0.030000000000000006,0.07
35449,AL,Coaling,Tuscaloosa,0.04,0.060000000000000005,0.1
35452,AL,Coker,Tuscaloosa,0.04,0.049999999999999996,0.09
35453,AL,Cottondale,Tuscaloosa,0.04,0.049999999999999996,0.09
35456,AL,Duncanville,Tuscaloosa,0.04,0.049999999999999996,0.09
35457,AL,Echola,Tuscaloosa,0.04,0.049999999999999996,0.09
35458,AL,Elrod,Tuscaloosa,0.04,0.049999999999999996,0.09
35459,AL,Emelle,Sumter,0.04,0.049999999999999996,0.09
35460,AL,Epes,Sumter,0.04,0.030000000000000006,0.07
35461,AL,Ethelsville,Pickens,0.04,0.049999999999999996,0.09
35462,AL,Eutaw,Greene,0.04,0.060000000000000005,0.1
35463,AL,Fosters,Tuscaloosa,0.04,0.049999999999999996,0.09
35464,AL,Gainesville,Sumter,0.04,0.049999999999999996,0.09
35466,AL,Gordo,Pickens,0.04,0.060000000000000005,0.1
35468,AL,Kellerman,Tuscaloosa,0.04,0.049999999999999996,0.09
35469,AL,Knoxville,Greene,0.04,0.030000000000000006,0.07
35470,AL,Livingston,Sumter,0.04,0.060000000000000005,0.1
35473,AL,Northport,Tuscaloosa,0.04,0.060000000000000005,0.1
35475,AL,Northport,Tuscaloosa,0.04,0.060000000000000005,0.1
35476,AL,Northport,Tuscaloosa,0.04,0.060000000000000005,0.1
35474,AL,Moundville,Hale,0.04,0.060000000000000005,0.1
35477,AL,Panola,Sumter,0.04,0.030000000000000006,0.07
35478,AL,Peterson,Tuscaloosa,0.04,0.049999999999999996,0.09
35480,AL,Ralph,Tuscaloosa,0.04,0.049999999999999996,0.09
35481,AL,Reform,Pickens,0.04,0.060000000000000005,0.1
35482,AL,Samantha,Tuscaloosa,0.04,0.049999999999999996,0.09
35490,AL,Vance,Tuscaloosa,0.04,0.049999999999999996,0.09
35491,AL,West Greene,Greene,0.04,0.030000000000000006,0.07
35501,AL,Jasper,Walker,0.04,0.049999999999999996,0.09
35502,AL,Jasper,Walker,0.04,0.049999999999999996,0.09
35503,AL,Jasper,Walker,0.04,0.049999999999999996,0.09
35504,AL,Jasper,Walker,0.04,0.049999999999999996,0.09
35540,AL,Addison,Winston,0.04,0.049999999999999996,0.09
35541,AL,Arley,Winston,0.04,0.04,0.08
35542,AL,Bankston,Fayette,0.04,0.019999999999999997,0.06
35543,AL,Bear Creek,Marion,0.04,0.049999999999999996,0.09
35544,AL,Beaverton,Lamar,0.04,0.04,0.08
35545,AL,Belk,Fayette,0.04,0.030000000000000006,0.07
35546,AL,Berry,Fayette,0.04,0.049999999999999996,0.09
35548,AL,Brilliant,Marion,0.04,0.049999999999999996,0.09
35549,AL,Carbon Hill,Walker,0.04,0.049999999999999996,0.09
35550,AL,Cordova,Walker,0.04,0.049999999999999996,0.09
35551,AL,Delmar,Winston,0.04,0.019999999999999997,0.06
35552,AL,Detroit,Lamar,0.04,0.04,0.08
35553,AL,Double Springs,Winston,0.04,0.060000000000000005,0.1
35554,AL,Eldridge,Walker,0.04,0.04,0.08
35555,AL,Fayette,Fayette,0.04,0.055,0.095
35559,AL,Glen Allen,Fayette,0.04,0.030000000000000006,0.07
35560,AL,Goodsprings,Walker,0.04,0.019999999999999997,0.06
35563,AL,Guin,Marion,0.04,0.049999999999999996,0.09
35564,AL,Hackleburg,Marion,0.04,0.04,0.08
35565,AL,Haleyville,Winston,0.04,0.060000000000000005,0.1
35570,AL,Hamilton,Marion,0.04,0.049999999999999996,0.09
35571,AL,Hodges,Franklin,0.04,0.04,0.08
35572,AL,Houston,Winston,0.04,0.019999999999999997,0.06
35573,AL,Kansas,Walker,0.04,0.030000000000000006,0.07
35574,AL,Kennedy,Lamar,0.04,0.049999999999999996,0.09
35575,AL,Lynn,Winston,0.04,0.04,0.08
35576,AL,Millport,Lamar,0.04,0.049999999999999996,0.09
35577,AL,Natural Bridge,Winston,0.04,0.049999999999999996,0.09
35578,AL,Nauvoo,Walker,0.04,0.04,0.08
35579,AL,Oakman,Walker,0.04,0.060000000000000005,0.1
35580,AL,Parrish,Walker,0.04,0.060000000000000005,0.1
35581,AL,Phil Campbell,Franklin,0.04,0.04,0.08
35582,AL,Red Bay,Franklin,0.04,0.045000000000000005,0.085
35584,AL,Sipsey,Walker,0.04,0.04,0.08
35585,AL,Spruce Pine,Franklin,0.04,0.019999999999999997,0.06
35586,AL,Sulligent,Lamar,0.04,0.055,0.095
35587,AL,Townley,Walker,0.04,0.019999999999999997,0.06
35592,AL,Vernon,Lamar,0.04,0.049999999999999996,0.09
35593,AL,Vina,Franklin,0.04,0.04,0.08
35594,AL,Winfield,Marion,0.04,0.060000000000000005,0.1
35601,AL,Decatur,Morgan,0.04,0.049999999999999996,0.09
35602,AL,Decatur,Morgan,0.04,0.049999999999999996,0.09
35603,AL,Decatur,Morgan,0.04,0.049999999999999996,0.09
35609,AL,Decatur,Morgan,0.04,0.049999999999999996,0.09
35699,AL,Decatur,Morgan,0.04,0.049999999999999996,0.09
35610,AL,Anderson,Lauderdale,0.04,0.034999999999999996,0.075
35611,AL,Athens,Limestone,0.04,0.049999999999999996,0.09
35612,AL,Athens,Limestone,0.04,0.049999999999999996,0.09
35613,AL,Athens,Limestone,0.04,0.049999999999999996,0.09
35614,AL,Athens,Limestone,0.04,0.049999999999999996,0.09
35615,AL,Belle Mina,Limestone,0.04,0.019999999999999997,0.06
35616,AL,Cherokee,Colbert,0.04,0.045000000000000005,0.085
35617,AL,Cloverdale,Lauderdale,0.04,0.015,0.055
35618,AL,Courtland,Lawrence,0.04,0.049999999999999996,0.09
35619,AL,Danville,Morgan,0.04,0.030000000000000006,0.07
35620,AL,Elkmont,Limestone,0.04,0.04,0.08
35621,AL,Eva,Morgan,0.04,0.049999999999999996,0.09
35622,AL,Falkville,Morgan,0.04,0.049999999999999996,0.09
35630,AL,Florence,Lauderdale,0.04,0.055,0.095
